"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YNL042W",24.7524504517875,1.09696242322643,0.412713446789338,2.65792750820245,0.00786228026369434,0.0359317414601845
"YDR417C",150.480269534244,-0.701981049608703,0.264144402716596,-2.65756549216705,0.00787072960898841,0.0359433918875243
"YPL147W",44.7549513729375,0.86730377398911,0.326487847986393,2.65646571331272,0.00789644802709833,0.0360338287498749
"YHR021C",362.759490429585,-0.637313263945003,0.240054342445503,-2.65487079905536,0.00793387896585939,0.0361775379191732
"YDR171W",542.368720487541,-0.906950004559354,0.341854288135565,-2.65303094340504,0.00797725574620752,0.0363390845286168
"YKL188C",35.7308044434623,1.0024190925487,0.377863187877018,2.65286252990315,0.00798123688432194,0.0363390845286168
"YBL038W",91.5472112746604,-0.831561583200738,0.313539951735062,-2.65217105060792,0.00799760146550088,0.0363592448715159
"YLL046C",4.85346969760521,-2.71158126353734,1.02232054833425,-2.65237871620164,0.00799268368803902,0.0363592448715159
"NME1",639.650045280764,-1.11725840044178,0.421322248079684,-2.65179065557079,0.00800661671692056,0.0363730865320507
"YLR034C",119.609447452566,-0.899103097028542,0.339158882019352,-2.65097906820332,0.00802588152493988,0.0364334353576257
"YOR290C",133.554544909281,0.752723359143728,0.284192078584298,2.6486429984024,0.00808156514250059,0.0366588941534725
"YJR103W",117.5756645141,0.876224246900511,0.330885665004208,2.64811788352744,0.00809412952825712,0.0366885692605226
"YBR138C",30.5747592821436,1.0237034973964,0.387187043342151,2.6439508113699,0.00819445634788384,0.0370605999044605
"YGR214W",231.681736240739,-0.650710543142089,0.246087465716432,-2.64422465096986,0.00818782935436997,0.0370605999044605
"YLR109W",168.06453907582,0.705304173858165,0.266737045274241,2.64419279719103,0.00818859997797054,0.0370605999044605
"YBR122C",96.3286479877056,-0.74110452325971,0.280362851863299,-2.64337631870382,0.00820837482906828,0.0370685096061408
"YGR257C",69.1524897578178,0.763069762023859,0.288658969071051,2.64349922844779,0.00820539526406759,0.0370685096061408
"YJL179W",16.1838551311982,-1.36823518662702,0.518159174887705,-2.64056925542917,0.00827668745604758,0.0373493185053643
"YOR055W",13.2799210006373,1.38849483497619,0.526317722490718,2.63813049730751,0.00833644948327728,0.0375911548868432
"YOR051C",135.932290781733,0.67860605200095,0.257314820316651,2.63725987941875,0.00835787738857966,0.0376599031443989
"YOR223W",31.6457322721614,1.13184757594577,0.429985839476257,2.6322903501297,0.00848113483313746,0.0381870461223011
"YDR436W",50.2812606414698,0.877041285174395,0.333344703271551,2.63103411143729,0.00851254913803723,0.0382889795410262
"YNR031C",135.585087947164,0.682922559101798,0.25957925625884,2.63088264040953,0.00851634393927946,0.0382889795410262
"YML016C",100.45868000712,0.721552087656532,0.274327316596517,2.63025970803264,0.00853196616084997,0.0383309276193938
"YIL016W",40.8889228541361,-0.934184009702874,0.355240792989777,-2.62972053924493,0.00854550839646081,0.0383634761615617
"YBL051C",159.476835940924,0.734465861903232,0.279600037043612,2.62684465162882,0.00861806685953749,0.0386322761650496
"YNL092W",27.2891388513031,1.03985482236036,0.395855102366396,2.6268571912909,0.00861774929291467,0.0386322761650496
"YGL028C",38.2530732213876,-0.941444708971186,0.358920832505304,-2.6229870871518,0.00871625760189635,0.0390437068461416
"YGR035W-A",16.0705057170255,1.33170444500458,0.507954091519475,2.62170236885183,0.00874918015299689,0.0391489227561576
"YPR102C",34.1867886833289,-1.04309092365131,0.39788799812753,-2.62156920681226,0.00875259894843838,0.0391489227561576
"YGL007W",10.7180049115817,1.69387372250663,0.646641626112462,2.61949378775692,0.00880603765914209,0.0393590472630181
"YDR213W",36.6158783271199,0.969539665205829,0.370225030180872,2.61878475567188,0.00882436079081035,0.0393831545330525
"YLR066W",35.0059940114814,-0.942714862869506,0.359960430066247,-2.61894026156155,0.00882033922295504,0.0393831545330525
"YPL251W",6.06035794343968,-2.10447450895356,0.804039382560928,-2.61737740040873,0.00886083124239303,0.0395169721293253
"YPL087W",285.581931843326,0.581621831717879,0.222272129083267,2.61671057957966,0.00887815832109528,0.0395652819986192
"YDR167W",47.2835044599687,-0.864807303650222,0.330641624936263,-2.61554274606813,0.00890857695059505,0.0396718207478253
"YGR135W",143.077115454399,-0.651137595426286,0.249173331948579,-2.6131913489067,0.00897010649334223,0.0398875100419276
"YHR039C",59.437404572725,0.817149758288625,0.312674355565474,2.61342110007968,0.0089640778571461,0.0398875100419276
"YPL214C",57.525995185422,0.795780330875768,0.304647504224173,2.6121347453751,0.00899787825249544,0.039981819339316
"YNL284C",77.1453758144931,-0.737318336169615,0.282300255261557,-2.61182312954862,0.00900608340892695,0.039989110879871
"YCL036W",21.8577855275411,1.09677760968788,0.419978196592946,2.61151083219423,0.00901431321338216,0.0399965011623628
"YJR019C",48.0129872839924,0.939539382488061,0.35997798894388,2.60999119764107,0.00905445524419813,0.0401146831325997
"YPL277C",18.516855446047,1.3780031410108,0.528020074149245,2.60975521286963,0.00906070321576776,0.0401146831325997
"YPR165W",346.193989923063,-0.575003015834882,0.220297179314075,-2.6101242767848,0.00905093351551315,0.0401146831325997
"YFR004W",121.676657102671,-0.708741355503939,0.271719224905137,-2.60835925669733,0.00909774157750754,0.0402494129921394
"YGR180C",318.891117107226,-0.691541163005422,0.265258768069745,-2.60704355990824,0.00913277412053169,0.0403693388522272
"YNL156C",125.831822992961,0.71074134269062,0.27264438636125,2.60684385318279,0.00913810214662202,0.0403693388522272
"YER040W",57.4370423894065,0.794107491867158,0.304764121031227,2.6056462590811,0.00917011131121067,0.0404813899332575
"YDR405W",44.7041805108634,-1.03365741044188,0.396804726256762,-2.60495236584714,0.00918870337137728,0.0405340919177628
"YHR211W",8.32521032592201,1.79525412399311,0.689425576091542,2.60398538471792,0.00921466861323508,0.0406048139059411
"YLR098C",36.1432966143369,1.06133676908499,0.407601468103802,2.60385904403737,0.00921806592776042,0.0406048139059411
"YML116W",72.2698935322753,-0.810752521012464,0.311403810561822,-2.60354078374872,0.00922662893650021,0.0406131672551729
"YEL042W",59.0245842629399,-0.867172651768036,0.333240099325291,-2.60224580872409,0.00926154437108052,0.0407374211614603
"YKR018C",214.708557671251,0.779481104427092,0.299726024936787,2.60064538803892,0.00930485817858167,0.0408689228723284
"YOR124C",178.071187947399,0.664509858862396,0.255501675195382,2.60080431313903,0.00930054895906145,0.0408689228723284
"YBR065C",55.5480705390279,0.855629133136655,0.329201666194593,2.59910328834997,0.00934676447683679,0.0409349311235728
"YDL215C",274.804136299709,0.672391174182035,0.25864632862087,2.59965481732255,0.00933175746779208,0.0409349311235728
